date,cnt
9/26/2021,428
6/19/2014,118
6/3/2022,533
10/8/2022,1614
7/11/2009,91
1/24/2012,142
1/6/2011,83
9/10/2019,185
10/5/2021,509
4/27/2013,119
3/30/2009,130
1/10/2022,565
12/23/2020,318
1/5/2021,329
2/9/2016,106
1/21/2022,480
7/16/2021,298
4/2/2010,90
1/10/2019,171
11/21/2019,194
3/21/2021,353
8/18/2019,177
10/24/2020,288
8/23/2022,844
5/27/2011,130
5/30/2012,85
2/27/2012,144
12/11/2013,84
7/14/2017,188
1/17/2020,242
10/25/2014,105
10/11/2008,15
7/30/2017,135
6/13/2021,395
8/27/2016,120
4/24/2019,183
7/6/2020,294
9/1/2019,194
1/31/2018,129
11/22/2012,97
11/15/2012,96
5/4/2010,106
10/29/2020,344
5/19/2022,560
1/23/2021,327
12/7/2015,132
11/19/2020,334
11/13/2016,129
9/17/2018,146
6/21/2016,101
6/4/2021,295
5/5/2009,119
11/27/2010,80
12/5/2017,146
11/12/2020,328
12/15/2020,282
3/25/2022,502
3/31/2015,133
8/26/2013,117
9/24/2017,157
5/21/2015,92
10/16/2010,74
12/6/2019,205
2/10/2018,135
11/25/2012,101
8/4/2016,130
5/1/2014,89
8/5/2009,131
6/6/2017,127
7/20/2021,358
11/7/2016,92
8/26/2018,141
2/9/2011,117
2/25/2021,317
9/18/2017,115
12/3/2009,79
10/9/2016,121
8/16/2020,276
5/15/2013,100
7/23/2013,131
7/18/2021,319
9/10/2021,368
8/20/2021,402
6/8/2020,255
11/8/2018,128
10/2/2020,262
11/11/2012,130
4/25/2019,174
12/18/2019,204
10/4/2012,119
8/2/2016,118
1/27/2011,140
2/26/2010,71
2/24/2019,173
7/28/2016,127
6/1/2022,579
9/24/2022,1597
11/23/2018,131
9/22/2012,121
8/14/2009,112
6/28/2021,322
2/13/2016,91
1/23/2018,130
7/24/2022,662
5/2/2020,361
3/19/2022,558
6/7/2022,594
2/21/2016,114
12/21/2019,195
5/16/2017,135
10/8/2021,378
2/11/2021,355
8/4/2021,381
5/29/2016,93
12/10/2017,130
4/14/2020,317
5/25/2018,203
3/25/2012,109
3/19/2018,141
8/6/2011,127
10/19/2011,138
6/11/2010,71
5/12/2020,312
12/27/2019,240
1/1/2022,448
7/2/2010,69
6/2/2020,478
10/5/2011,116
9/3/2016,128
4/29/2018,138
1/9/2018,150
1/12/2021,392
8/14/2021,390
1/7/2010,120
2/15/2020,215
7/30/2012,120
1/18/2011,98
5/15/2017,101
5/19/2014,99
7/5/2020,271
10/10/2019,190
3/13/2015,106
9/16/2011,118
11/17/2021,424
9/9/2021,448
11/24/2013,114
5/6/2020,332
10/13/2010,104
6/8/2015,122
1/28/2012,134
8/21/2011,117
3/31/2012,126
3/24/2010,86
5/3/2014,84
2/23/2010,103
10/28/2010,76
4/23/2019,190
11/29/2021,472
12/16/2015,121
10/23/2020,330
6/5/2020,268
10/31/2017,95
3/17/2009,118
7/1/2016,105
2/9/2009,69
2/18/2009,95
1/6/2010,78
4/2/2019,171
1/16/2020,241
9/20/2021,370
3/29/2022,519
9/1/2009,106
6/4/2020,335
7/31/2021,363
4/22/2018,137
12/27/2015,98
7/20/2019,176
9/7/2010,109
11/14/2019,222
10/8/2017,133
8/19/2010,96
2/19/2019,166
11/15/2021,443
8/30/2013,117
9/1/2010,96
6/22/2017,144
10/7/2009,73
1/17/2021,345
10/10/2022,1375
8/11/2009,94
3/23/2021,336
3/6/2020,223
11/27/2021,481
9/23/2020,322
2/28/2021,293
2/1/2019,160
8/6/2021,395
12/12/2016,110
11/5/2016,119
7/29/2017,134
8/1/2012,138
2/24/2022,744
1/21/2020,224
12/10/2013,85
8/1/2010,92
10/27/2016,118
3/2/2017,122
10/17/2017,152
8/2/2012,131
5/5/2015,91
3/28/2010,110
10/24/2015,94
1/3/2019,186
3/15/2019,148
11/27/2014,91
12/27/2021,484
11/10/2017,93
7/3/2019,183
2/19/2014,110
11/21/2011,121
7/9/2019,189
4/16/2009,156
3/1/2021,390
9/27/2010,105
9/3/2014,100
1/8/2010,112
7/2/2022,622
4/28/2016,116
2/15/2016,141
1/8/2021,369
10/18/2011,124
12/14/2021,445
12/21/2021,466
7/28/2018,138
7/29/2018,142
5/5/2014,123
